brand,model,year,mileage,fuel,power_ps,price
Maserati,Ghibli GranSport,2019,69650,Benzin,350,34813
Audi,A6 Avant,2018,163139,Diesel,190,18900
Kia,Sportage Edition,2022,28044,Benzin,150,20990
Volkswagen,Arteon Shooting,2023,58000,Diesel,150,259501
Hyundai,TUCSON Advantage,2020,94000,Benzin,177,17400
Mercedes-Benz,GLE 300,2021,145000,Diesel,245,42998
Opel,Crossland X,2021,91061,Diesel,120,12850
Ford,Focus Turnier,2019,99200,Benzin,125,11980
Peugeot,308 Active,2015,108736,Benzin,110,7490
Volvo,C40 Plus,2023,12706,Elektro,231,289501
Volkswagen,Tiguan TIGUAN,2012,230000,Diesel,140,8190
Porsche,Panamera Sport,2018,65121,Benzin,462,54950
Volkswagen,Tiguan Allspace,2023,129327,Diesel,150,234601
Opel,Adam S,2015,90950,Benzin,150,9499
Skoda,Kamiq 1.0,2021,45162,Benzin,110,184901
Audi,Q3 Sportback,2023,69730,Benzin,245,329001
Volkswagen,T5 Multivan,2013,262051,Diesel,179,15749
Mazda,6 Sport,2021,37294,Benzin,194,228851
Mitsubishi,Space Star,2017,43500,Benzin,80,6980
Dacia,Spring Electric,2023,12850,Elektro,45,119901
Mercedes-Benz,E 300,2019,153000,Diesel,245,26990
Hyundai,i10 1.HAND+GARANTIE+LED+R.KAM+NAVI+SHZ+SPUR+KLIM,2023,24000,Benzin,67,11498
Mazda,MX-3 Basis,2021,53141,Elektro,145,13990
BMW,X1 20d,2012,209971,Diesel,177,8490
Kia,Sportage 1.6d,2023,87415,Diesel,136,199501
Volkswagen,Tiguan 2.0,2015,88000,Diesel,140,14990
Mercedes-Benz,E 300,2008,358000,Diesel,211,5990
Audi,A6 Avant,2018,189900,Diesel,218,19950
Opel,Vectra Diesel,2009,240066,Diesel,150,900
Audi,A4 40,2022,174815,Diesel,204,199501
Opel,Crossland X,2019,46900,Benzin,131,11990
Dacia,Dokker 1.3,2020,44716,Benzin,131,13990
Hyundai,TUCSON TUCSON,2016,128301,Diesel,136,14490
Opel,Corsa F,2021,60400,Benzin,101,109501
Mazda,CX-3 2.0,2021,51499,Benzin,121,16875
Peugeot,3008 Allure,2020,82500,Benzin,131,14877
Audi,S7 3.0,2021,79873,Diesel,349,54788
Hyundai,i10 Trend,2020,13000,Benzin,67,134501
Mazda,6 Kombi,2012,194582,Diesel,163,2999
Mercedes-Benz,CLA 220,2022,114000,Diesel,190,269001
Mercedes-Benz,C 300,2022,166000,Diesel,265,334901
Volkswagen,ID.3 Pro,2023,8260,Elektro,204,238901
Volkswagen,Touran Highline,2017,169100,Diesel,150,15490
Peugeot,408 1.2PureTech,2024,33426,Benzin,131,204901
Hyundai,TUCSON 1.6,2023,43534,Benzin,150,225901
Volkswagen,Polo VI,2021,35138,Benzin,80,129901
Audi,A3 Sportback,2023,12122,Benzin,150,259001
Mercedes-Benz,S 63,2016,164681,Benzin,585,69990
Volkswagen,Golf Team,2010,122885,Benzin,122,5250
Mercedes-Benz,EQA 250,2025,5056,Elektro,190,362951
Citroen,C3 Turbo,2025,3342,Benzin,101,15950
CUPRA,Formentor VZ,2024,17032,Benzin,310,299501
Hyundai,TUCSON 136PS,2016,192100,Diesel,136,10890
Opel,Mokka 1.2,2021,36356,Benzin,101,139001
Audi,Q3 Sportback,2022,176130,Diesel,150,23450
Mercedes-Benz,GLA 200,2017,67807,Benzin,156,18620
Volkswagen,Polo 1.0,2018,125700,Benzin,75,8890
Jeep,Renegade UPLAND,2022,20250,Benzin,179,199501
Subaru,Legacy Lim.,2013,158600,Diesel,150,6490
Mercedes-Benz,GLA 200,2017,67807,Benzin,156,18620
Volkswagen,Polo 1.0,2018,125700,Benzin,75,8890
Jeep,Renegade UPLAND,2022,20250,Benzin,179,199501
Dacia,Spring ELECTRIC,2024,4814,Elektro,65,135001
Kia,XCeed 1.5,2025,19866,Benzin,140,227901
Skoda,Kodiaq Sportline,2018,241200,Benzin,179,14990
Volkswagen,Polo 1.0,2021,32000,Benzin,80,14490
Audi,A5 Coupe,2017,15500,Benzin,190,25990
Mercedes-Benz,GLA 180,2019,119900,Benzin,122,18950
Nissan,Pixo Acenta,2010,31891,Benzin,68,5890
Renault,ZOE INTENS,2020,22814,Elektro,69,109001
Ford,Focus 1.5d,2022,23437,Diesel,120,159501
Volkswagen,T-Cross 1.0,2025,24995,Benzin,116,239501
smart,forFour EQ,2020,31183,Elektro,82,104401
BMW,520 i,1998,79000,Benzin,150,5999
Opel,Vivaro Combi,2018,75500,Diesel,145,17950
Citroen,Berlingo 1.5,2021,35992,Diesel,131,19980
Dacia,Sandero Access,2020,66619,Benzin,73,7950
Land,Rover Discovery,2016,141200,Diesel,179,12990
Renault,Clio Limited,2016,98047,Benzin,73,3900
Land,Rover Discovery,2016,141200,Diesel,179,12990
Volkswagen,Polo IV,2009,145000,Benzin,105,4990
